area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Benson Town,3 BHK,Fants A,2270,3.0,1.0,180.0
Super built-up  Area,19-Dec,Hebbal,4 BHK,SNontle,3067,4.0,3.0,230.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850,2.0,3.0,28.0
Plot  Area,Ready To Move,Sector 1 HSR Layout,4 Bedroom,,2400,5.0,,775.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,3.0,3.0,78.3
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,,3750,4.0,0.0,210.0
Built-up  Area,Ready To Move,Banagiri Nagar,6 Bedroom,,675,6.0,2.0,125.0
Plot  Area,Ready To Move,1A Block Koramangala,4 Bedroom,,2360,4.0,1.0,650.0
Super built-up  Area,18-Aug,Hosa Road,3 BHK,Sosisic,142.61Sq. Meter,3.0,1.0,109.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,39.06
Super built-up  Area,Ready To Move,Gunjur,2 BHK,Puide P,1195,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1317,2.0,2.0,52.0
Super built-up  Area,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,4 BHK,,2690,4.0,2.0,185.0
Plot  Area,Ready To Move,Seegehalli,5 Bedroom,,1200,5.0,3.0,120.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1300,2.0,2.0,78.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1125,2.0,1.0,32.49
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,APncyla,1596,3.0,3.0,79.8
Built-up  Area,Ready To Move,Victoria Layout,2 BHK,,1115,2.0,1.0,115.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2.0,2.0,50.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3000,5.0,3.0,250.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2225,4.0,2.0,169.0
Super built-up  Area,Ready To Move,Anantapura,2 BHK,,1200,2.0,2.0,37.0
Plot  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,,1200,5.0,,205.0
Plot  Area,Ready To Move,Hullahalli,5 Bedroom,,1200,5.0,2.0,99.0
Super built-up  Area,Ready To Move,Brindavan Nagar,2 BHK,,1280,2.0,2.0,90.0
Plot  Area,Ready To Move,Domlur Layout,2 Bedroom,,900,2.0,2.0,160.0
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5.0,1.0,248.0
Super built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,,1272,2.0,2.0,51.5
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1113,2.0,1.0,62.0
Built-up  Area,Ready To Move,Kudlu,2 BHK,MJinala,1030,2.0,2.0,75.0
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,,4800,4.0,3.0,250.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1000,2.0,1.0,61.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,3.0,92.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,54.99
Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,,950,2.0,1.0,33.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2.0,3.0,75.0
Built-up  Area,18-Apr,Koppa,7 Bedroom,,4000,7.0,,90.0
Plot  Area,Ready To Move,KSRTC Layout,4 Bedroom,,1500,4.0,0.0,110.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3100,4.0,3.0,550.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,46.0
Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,70.5
Super built-up  Area,18-Aug,Kengeri Satellite Town,3 BHK,DSestSt,1149,2.0,2.0,29.0
